Temparature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer,Yield,Rainfall
32.93,56.53,28.8,Clayey,Maize,11,8,27,17-17-17,18.31,111.93
28.87,42.05,50.69,Clayey,Oil seeds,13,0,4,14-35-14,16.89,98.81
36.94,53.17,24.98,Sandy,Paddy,20,3,27,20-20,17.81,99.59
26.55,70.7,64.77,Loamy,Cotton,6,10,11,DAP,24.07,154.97
26.48,49.62,32.7,Sandy,Oil seeds,18,9,14,20-20,17.65,108.46
35.14,69.23,39.79,Sandy,Ground Nuts,36,2,0,17-17-17,20.58,146.49
30.29,55.55,44.77,Red,Wheat,18,0,10,20-20,18.71,119.01
21.54,43.75,56.74,Clayey,Wheat,7,0,7,10/26/2026,17.82,109.67
26.69,61.8,55.35,Sandy,Paddy,17,0,20,14-35-14,22.8,134.28
37.94,60.1,56.48,Loamy,Maize,8,7,25,17-17-17,23.31,108.92
20.53,53.88,68.8,Red,Tobacco,10,3,10,14-35-14,22.6,131.78
30.62,46.34,61.19,Black,Barley,5,4,14,28-28,20.32,86.06
24.14,45.84,44.84,Black,Sugarcane,7,22,14,20-20,20.0,102.84
21.95,59.83,69.07,Sandy,Wheat,38,0,0,DAP,25.5,129.7
34.26,69.87,24.2,Red,Tobacco,20,0,19,14-35-14,17.68,147.97
24.98,67.9,70.0,Loamy,Wheat,14,0,38,10/26/2026,28.59,153.19
23.0,55.77,37.58,Clayey,Sugarcane,25,0,20,17-17-17,19.84,126.5
30.49,59.19,51.04,Red,Cotton,11,16,15,20-20,22.43,132.45
31.65,69.41,33.59,Sandy,Millets,6,0,34,20-20,19.66,139.23
30.68,61.61,38.4,Loamy,Paddy,36,0,3,14-35-14,19.69,130.21
22.27,53.67,28.01,Black,Pulses,16,0,13,10/26/2026,15.32,123.24
30.65,59.18,52.5,Clayey,Paddy,16,3,10,20-20,20.77,131.28
27.86,59.92,36.56,Loamy,Oil seeds,14,0,40,20-20,21.4,132.86
31.58,55.46,70.0,Red,Wheat,28,0,20,DAP,26.75,110.78
26.73,56.88,29.16,Red,Maize,6,16,21,14-35-14,17.97,126.75
27.32,69.77,41.0,Loamy,Barley,8,0,6,10/26/2026,17.28,150.81
31.49,69.94,50.94,Black,Paddy,36,0,2,14-35-14,22.88,146.65
39.76,50.39,44.02,Red,Wheat,11,1,38,17-17-17,21.34,92.39
28.09,68.54,27.88,Red,Maize,11,5,32,10/26/2026,19.63,145.87
33.22,67.49,46.8,Clayey,Pulses,9,10,29,28-28,23.31,133.59
33.09,77.6,43.37,Clayey,Maize,35,0,2,Urea,21.98,161.41
27.89,49.02,36.06,Black,Millets,11,10,13,DAP,17.21,111.59
31.17,69.37,43.42,Sandy,Sugarcane,20,4,26,20-20,23.12,138.93
31.53,56.66,34.79,Clayey,Ground Nuts,6,0,9,10/26/2026,14.87,120.51
36.4,62.17,27.49,Loamy,Ground Nuts,6,4,34,20-20,18.31,124.17
35.25,53.22,40.74,Sandy,Pulses,13,4,40,DAP,22.02,105.15
29.6,51.91,43.03,Sandy,Sugarcane,36,0,0,10/26/2026,19.2,122.34
31.32,65.36,47.86,Black,Sugarcane,6,7,25,28-28,21.81,138.63
32.98,67.67,45.92,Loamy,Barley,25,3,21,14-35-14,23.3,136.48
28.48,49.43,44.67,Sandy,Barley,3,0,14,17-17-17,16.43,107.63
38.56,74.3,55.08,Black,Oil seeds,13,0,39,Urea,26.25,141.45
28.02,48.84,51.42,Sandy,Wheat,8,3,29,28-28,21.17,108.06
37.73,70.55,52.64,Black,Paddy,7,21,24,17-17-17,25.38,139.53
27.7,62.14,37.45,Sandy,Wheat,21,0,19,10/26/2026,19.7,131.74
28.26,59.17,33.07,Red,Pulses,35,0,0,28-28,17.78,125.51
23.32,60.72,41.52,Loamy,Sugarcane,21,0,23,Urea,20.98,147.31
23.39,59.59,32.49,Red,Millets,17,0,21,17-17-17,18.16,139.73
31.91,64.57,48.22,Sandy,Sugarcane,16,19,9,28-28,22.7,124.87
29.26,60.97,49.42,Red,Cotton,25,0,21,14-35-14,22.88,139.09
26.27,51.6,34.24,Sandy,Wheat,8,7,25,10/26/2026,18.01,105.91
32.53,56.56,54.29,Clayey,Pulses,26,0,16,20-20,22.81,122.83
25.72,53.66,21.91,Red,Barley,6,10,31,28-28,16.8,121.69
28.01,42.25,31.47,Black,Maize,6,15,23,DAP,17.12,91.7
34.74,68.72,29.09,Loamy,Tobacco,40,2,0,DAP,18.99,149.21
22.55,43.39,55.77,Sandy,Millets,4,0,12,Urea,17.89,110.26
34.51,66.37,51.86,Black,Paddy,35,4,0,28-28,22.86,131.01
38.69,71.21,50.84,Loamy,Wheat,8,18,8,Urea,22.39,137.23
30.33,52.42,35.68,Sandy,Wheat,22,0,13,DAP,17.63,112.28
28.97,59.55,36.01,Sandy,Wheat,8,11,18,17-17-17,18.71,127.78
35.45,70.4,26.6,Loamy,Maize,39,0,2,DAP,18.51,133.22
31.27,70.01,49.6,Red,Sugarcane,10,16,23,10/26/2026,24.27,141.65
23.79,63.74,20.0,Red,Wheat,7,9,31,17-17-17,17.42,141.64
31.04,45.07,31.17,Clayey,Millets,9,4,17,28-28,15.24,98.01
28.78,47.92,40.88,Clayey,Pulses,16,12,14,28-28,19.27,107.73
35.87,54.52,43.39,Loamy,Pulses,17,3,37,Urea,22.68,105.05
29.98,45.13,41.6,Loamy,Tobacco,11,18,15,10/26/2026,19.43,104.97
31.61,65.58,41.29,Loamy,Oil seeds,28,0,18,14-35-14,21.72,143.36
36.29,68.59,62.11,Sandy,Pulses,37,0,0,14-35-14,24.83,137.08
31.74,64.98,31.38,Loamy,Paddy,41,4,0,10/26/2026,19.52,144.39
24.78,60.16,32.61,Sandy,Maize,38,4,0,DAP,18.84,121.64
32.21,54.41,61.25,Clayey,Maize,15,0,13,28-28,21.89,112.41
39.02,65.96,31.19,Sandy,Cotton,10,10,30,DAP,20.33,127.24
27.01,57.18,41.37,Clayey,Barley,38,2,0,28-28,19.99,123.75
25.91,59.25,20.86,Clayey,Ground Nuts,37,2,3,20-20,16.4,126.54
29.51,57.2,41.79,Loamy,Cotton,40,3,4,17-17-17,21.13,118.82
26.13,52.53,60.62,Sandy,Maize,9,9,33,DAP,25.03,114.33
30.54,60.14,32.76,Clayey,Sugarcane,26,0,26,14-35-14,20.37,123.5
31.78,66.16,38.27,Clayey,Maize,23,0,22,20-20,21.02,133.35
22.1,52.62,42.41,Black,Paddy,24,0,19,17-17-17,20.19,130.65
28.89,52.69,65.95,Clayey,Pulses,8,0,5,14-35-14,20.41,112.17
23.98,55.96,30.85,Red,Wheat,7,19,11,Urea,17.32,124.29
35.61,66.92,54.5,Clayey,Sugarcane,44,0,0,DAP,24.19,132.01
30.52,54.37,41.46,Loamy,Cotton,7,19,17,DAP,20.18,116.41
31.74,53.09,66.97,Sandy,Cotton,13,8,28,Urea,26.05,115.98
29.78,73.97,57.26,Sandy,Paddy,11,0,42,Urea,26.8,152.42
32.94,74.58,61.13,Clayey,Paddy,40,0,3,10/26/2026,26.13,157.61
38.5,58.84,52.22,Black,Cotton,17,2,37,14-35-14,24.73,116.43
40.0,77.51,44.13,Black,Paddy,14,0,44,17-17-17,25.28,154.39
31.51,69.17,49.11,Red,Sugarcane,2,6,33,17-17-17,22.89,133.02
31.94,71.92,36.07,Black,Maize,11,0,43,17-17-17,22.51,140.4
36.44,61.1,60.46,Red,Millets,12,4,38,14-35-14,26.3,120.33
31.24,49.93,37.99,Black,Maize,46,3,4,17-17-17,20.54,100.09
37.02,71.06,58.82,Sandy,Oil seeds,7,9,28,20-20,25.47,143.52
37.22,61.58,47.35,Loamy,Ground Nuts,43,2,0,14-35-14,22.38,120.69
32.45,68.21,21.16,Sandy,Ground Nuts,7,21,18,Urea,17.95,144.74
38.94,73.94,64.07,Red,Maize,12,0,12,17-17-17,23.81,139.18
32.45,52.61,41.79,Loamy,Sugarcane,13,9,22,28-28,20.22,109.9
27.9,61.55,43.02,Loamy,Tobacco,40,0,0,28-28,20.76,129.16
32.41,66.99,33.52,Red,Barley,26,0,17,20-20,19.85,132.13
37.99,74.34,48.62,Clayey,Wheat,13,9,12,10/26/2026,22.26,139.5
25.88,57.09,44.64,Clayey,Cotton,10,14,17,17-17-17,20.79,125.23
30.87,56.76,45.95,Sandy,Oil seeds,42,2,0,10/26/2026,21.47,131.63
28.55,43.74,27.1,Clayey,Barley,36,4,0,20-20,15.79,87.08
31.83,58.92,38.28,Clayey,Pulses,6,17,11,Urea,18.65,125.11
25.38,60.27,32.65,Black,Tobacco,21,1,21,10/26/2026,19.01,130.74
33.48,78.42,32.25,Clayey,Paddy,13,0,39,Urea,22.09,158.04
30.79,61.19,66.13,Loamy,Oil seeds,8,2,10,17-17-17,22.34,125.98
38.37,71.47,41.35,Red,Paddy,42,0,0,20-20,21.72,138.81
38.52,65.09,55.29,Black,Sugarcane,37,0,1,17-17-17,23.27,126.5
32.42,57.29,59.35,Red,Maize,36,0,0,10/26/2026,23.0,124.23
33.54,62.45,27.73,Black,Maize,10,0,38,17-17-17,18.99,130.58
22.94,55.21,33.2,Black,Sugarcane,21,0,26,DAP,19.21,129.1
34.64,54.07,30.24,Red,Ground Nuts,36,0,4,20-20,17.45,107.99
27.18,54.31,58.77,Black,Oil seeds,10,1,12,14-35-14,20.64,129.0
36.75,74.17,53.07,Black,Millets,42,4,0,28-28,24.93,141.2
25.18,55.87,41.76,Sandy,Pulses,16,0,39,10/26/2026,22.19,117.05
35.59,76.91,52.53,Clayey,Millets,15,3,41,17-17-17,27.05,155.08
28.46,53.05,34.92,Red,Pulses,26,3,27,10/26/2026,20.69,111.11
23.72,61.19,42.73,Red,Pulses,38,0,4,DAP,20.96,139.49
38.08,63.07,27.4,Black,Cotton,10,0,40,20-20,19.29,115.04
32.68,69.24,30.61,Loamy,Ground Nuts,25,0,23,DAP,20.25,144.66
27.23,45.13,46.5,Red,Millets,9,22,11,14-35-14,20.11,98.68
25.56,62.96,24.11,Clayey,Tobacco,41,0,0,17-17-17,17.27,146.95
23.23,56.75,26.54,Clayey,Wheat,14,0,3,DAP,13.53,128.91
32.08,56.04,57.99,Sandy,Sugarcane,4,10,32,14-35-14,24.1,106.01
33.03,57.81,20.71,Black,Tobacco,8,5,26,10/26/2026,15.77,115.27
28.27,61.15,25.82,Sandy,Oil seeds,6,6,34,17-17-17,18.18,135.37
25.2,60.8,40.83,Black,Cotton,17,2,39,28-28,22.95,135.34
32.37,57.03,65.34,Loamy,Paddy,34,1,2,28-28,24.32,111.91
32.77,65.31,56.5,Loamy,Sugarcane,21,0,23,10/26/2026,24.43,138.46
27.51,61.14,61.53,Loamy,Pulses,8,0,39,10/26/2026,25.47,130.95
36.35,64.04,65.28,Black,Barley,5,9,27,Urea,25.61,124.02
20.36,57.7,38.39,Red,Ground Nuts,25,0,18,DAP,19.9,135.19
33.04,52.2,21.85,Clayey,Millets,7,15,18,10/26/2026,15.59,103.96
35.94,62.93,28.98,Red,Barley,3,6,26,DAP,17.34,118.46
25.69,61.45,23.95,Black,Tobacco,37,0,0,28-28,16.48,132.44
27.55,59.01,28.77,Loamy,Ground Nuts,36,2,4,20-20,17.95,131.01
38.84,74.14,70.0,Loamy,Ground Nuts,12,2,38,20-20,29.21,138.92
32.3,62.68,41.53,Clayey,Sugarcane,11,2,10,10/26/2026,18.02,132.54
34.98,76.76,43.81,Loamy,Barley,35,3,0,DAP,22.14,156.65
25.16,56.14,61.08,Red,Pulses,12,1,35,10/26/2026,25.03,115.16
38.09,65.45,47.28,Loamy,Barley,7,14,14,17-17-17,21.25,124.65
37.0,70.38,34.26,Loamy,Pulses,18,0,15,Urea,18.84,143.16
32.35,63.44,24.13,Red,Cotton,41,4,0,14-35-14,17.92,129.0
32.28,67.55,49.48,Red,Pulses,24,0,22,28-28,23.55,135.26
34.57,53.65,30.56,Sandy,Ground Nuts,25,0,24,20-20,18.83,102.71
32.83,60.9,30.93,Loamy,Cotton,8,9,25,14-35-14,18.58,129.27
31.17,67.47,56.61,Loamy,Tobacco,12,0,7,DAP,20.92,148.51
35.93,63.52,47.76,Clayey,Wheat,20,0,16,Urea,21.3,122.58
35.88,65.43,51.08,Clayey,Oil seeds,11,15,10,Urea,22.16,133.25
23.9,50.65,40.95,Red,Ground Nuts,40,0,4,17-17-17,19.86,114.56
32.3,58.56,36.13,Sandy,Millets,25,2,20,20-20,20.13,120.34
29.21,68.29,33.86,Black,Pulses,6,16,17,14-35-14,19.45,140.71
34.78,74.96,23.1,Black,Oil seeds,8,0,32,28-28,18.12,157.25
33.65,59.37,58.73,Sandy,Oil seeds,39,0,0,Urea,23.53,126.02
28.58,62.64,30.24,Sandy,Cotton,13,1,14,Urea,16.51,134.01
30.6,46.79,28.45,Red,Maize,8,0,6,14-35-14,12.47,100.16
31.13,61.96,56.93,Clayey,Pulses,12,3,31,17-17-17,24.48,128.67
35.66,64.66,38.16,Loamy,Pulses,12,4,16,10/26/2026,18.9,133.2
38.02,73.39,34.53,Black,Barley,40,0,0,17-17-17,20.25,148.28
26.7,42.56,25.82,Red,Tobacco,9,11,17,Urea,14.97,104.8
30.06,56.63,49.63,Clayey,Ground Nuts,9,0,12,10/26/2026,18.74,120.82
32.38,67.07,45.41,Clayey,Cotton,44,0,0,14-35-14,22.39,145.62
30.11,55.41,33.96,Loamy,Millets,24,0,19,28-28,18.78,110.93
40.0,66.23,24.12,Black,Paddy,8,0,14,20-20,14.75,129.73
28.18,56.88,55.26,Red,Cotton,23,4,18,14-35-14,23.49,108.83
28.93,52.02,34.13,Black,Cotton,10,0,32,Urea,18.33,108.21
32.94,60.02,33.0,Black,Ground Nuts,7,10,25,DAP,18.9,125.38
30.05,71.84,55.66,Black,Millets,1,10,28,17-17-17,24.17,153.67
30.5,66.54,39.44,Clayey,Tobacco,10,0,12,DAP,17.84,141.11
36.14,63.53,29.95,Red,Ground Nuts,16,0,37,20-20,20.29,127.42
29.07,58.16,32.93,Clayey,Sugarcane,15,0,42,Urea,20.95,126.6
34.84,63.19,45.19,Red,Sugarcane,38,1,2,10/26/2026,21.51,129.86
34.61,67.29,36.72,Loamy,Millets,37,4,0,Urea,20.22,140.24
26.2,53.65,56.71,Sandy,Maize,36,3,0,14-35-14,22.56,118.86
33.91,63.82,41.45,Black,Wheat,12,0,10,14-35-14,17.97,131.94
34.79,61.91,46.9,Clayey,Wheat,38,2,0,10/26/2026,21.57,120.27
26.74,57.16,20.0,Clayey,Millets,37,0,4,17-17-17,15.87,136.35
32.91,56.48,45.87,Black,Millets,4,0,18,Urea,18.12,122.99
24.06,65.78,58.11,Red,Cotton,14,3,6,28-28,21.65,150.98
33.94,69.64,41.55,Loamy,Paddy,10,3,29,17-17-17,21.57,142.45
27.16,54.78,41.9,Black,Pulses,17,2,32,Urea,21.51,129.86
35.04,69.13,59.45,Black,Sugarcane,14,14,13,10/26/2026,24.95,142.85
26.78,53.14,37.57,Black,Pulses,24,0,21,Urea,19.58,116.3
26.4,65.11,55.15,Black,Pulses,3,9,37,Urea,24.89,148.75
30.74,54.35,61.21,Sandy,Cotton,16,0,8,20-20,21.28,121.42
36.75,59.8,37.97,Black,Sugarcane,21,0,23,17-17-17,20.17,111.26
25.11,48.12,62.98,Loamy,Pulses,15,4,30,10/26/2026,24.76,104.05
38.91,64.93,39.42,Sandy,Pulses,38,2,1,DAP,20.53,116.25
26.05,58.12,35.26,Black,Pulses,28,4,20,20-20,20.66,137.59
34.2,64.85,39.67,Clayey,Maize,13,0,36,10/26/2026,21.77,128.77
28.76,50.58,38.28,Loamy,Oil seeds,35,3,1,17-17-17,18.56,114.14
34.06,71.7,43.15,Red,Barley,12,12,28,28-28,23.6,145.85
26.51,56.57,20.0,Sandy,Ground Nuts,11,13,27,DAP,17.31,123.83
21.36,56.53,34.78,Black,Maize,3,15,24,28-28,18.91,134.31
28.11,45.27,48.25,Sandy,Paddy,7,8,24,Urea,20.03,96.72
22.72,44.19,24.65,Black,Pulses,38,0,3,14-35-14,15.5,103.4
22.54,52.75,31.79,Red,Millets,21,3,18,DAP,17.93,124.91
24.5,42.83,57.23,Loamy,Cotton,24,0,22,Urea,22.63,96.9
34.26,72.48,43.81,Clayey,Ground Nuts,14,19,23,17-17-17,24.41,149.3
36.19,77.04,57.3,Black,Ground Nuts,13,1,39,DAP,27.11,159.45
21.14,58.75,31.2,Loamy,Maize,14,0,13,DAP,16.16,144.8
24.28,50.9,34.64,Loamy,Millets,14,0,36,17-17-17,19.52,110.99
25.06,56.22,22.4,Sandy,Millets,18,0,43,17-17-17,19.25,126.91
30.21,50.79,37.79,Clayey,Barley,5,1,16,Urea,15.94,113.54
30.32,58.2,37.68,Loamy,Tobacco,37,0,1,20-20,19.06,120.62
35.17,60.97,34.42,Black,Ground Nuts,8,0,33,17-17-17,19.13,117.91
29.63,58.39,64.42,Sandy,Barley,8,1,11,28-28,21.72,123.69
31.41,50.97,45.98,Sandy,Millets,38,0,0,14-35-14,19.99,113.19
34.17,71.47,70.0,Loamy,Tobacco,15,0,37,10/26/2026,28.95,141.29
38.62,65.2,36.37,Sandy,Tobacco,37,1,3,10/26/2026,19.94,123.83
32.84,66.47,69.01,Red,Sugarcane,12,5,35,Urea,28.25,132.1
30.87,74.24,62.38,Clayey,Maize,7,16,9,14-35-14,24.7,159.31
26.02,52.58,39.77,Red,Sugarcane,41,0,3,14-35-14,19.81,121.0
31.0,64.07,51.2,Black,Wheat,13,3,11,28-28,20.7,138.72
30.47,58.88,38.22,Red,Pulses,20,2,18,17-17-17,19.53,121.46
30.33,54.91,37.16,Black,Millets,36,0,0,Urea,18.32,122.45
24.62,63.54,33.9,Loamy,Wheat,43,0,0,Urea,19.58,141.63
34.5,61.62,61.48,Red,Cotton,6,11,29,28-28,25.36,126.75
34.45,61.44,70.0,Red,Sugarcane,13,12,24,DAP,27.49,127.38
28.91,60.07,39.93,Black,Barley,34,0,3,20-20,19.54,131.25
31.57,53.14,20.33,Sandy,Oil seeds,41,4,2,10/26/2026,16.43,110.08
26.19,63.76,35.68,Red,Millets,32,0,0,28-28,18.31,137.62
25.14,48.37,28.64,Black,Millets,8,6,14,14-35-14,14.77,119.04
38.41,74.99,25.39,Black,Maize,9,0,36,Urea,19.33,141.43
29.57,70.26,37.15,Red,Millets,12,0,37,14-35-14,21.81,144.07
33.72,54.21,47.29,Red,Oil seeds,24,0,18,DAP,21.18,110.28
33.3,57.9,57.26,Black,Pulses,13,1,39,17-17-17,25.19,122.66
29.6,58.3,44.4,Clayey,Wheat,36,3,0,20-20,20.56,123.76
27.83,60.88,29.59,Red,Sugarcane,40,2,3,14-35-14,18.76,131.74
24.31,49.48,27.55,Red,Millets,17,0,39,17-17-17,18.86,110.26
31.77,46.28,45.72,Red,Cotton,35,1,0,17-17-17,19.17,103.31
28.65,59.24,40.45,Clayey,Barley,10,13,22,28-28,20.76,127.93
30.23,72.24,57.55,Red,Cotton,9,13,29,17-17-17,26.38,149.81
23.86,56.94,45.96,Black,Paddy,17,4,10,14-35-14,19.54,130.9
24.03,59.41,55.3,Sandy,Cotton,0,15,10,14-35-14,20.75,130.21
32.86,54.42,41.19,Red,Ground Nuts,22,4,22,DAP,20.88,114.7
31.58,60.79,41.51,Sandy,Barley,1,13,13,14-35-14,18.43,129.9
29.38,67.36,40.79,Black,Tobacco,5,11,17,14-35-14,19.84,146.99
34.45,66.86,35.97,Black,Maize,45,0,0,Urea,20.63,135.79
29.34,42.41,44.03,Clayey,Tobacco,22,0,18,Urea,19.05,103.18
40.0,62.24,42.28,Loamy,Pulses,14,1,18,14-35-14,19.63,112.4
31.51,63.07,38.77,Loamy,Ground Nuts,23,1,13,Urea,19.61,132.36
27.67,45.92,36.55,Loamy,Sugarcane,32,1,0,20-20,16.85,98.04
28.12,45.77,43.16,Sandy,Ground Nuts,44,1,0,17-17-17,19.96,96.78
30.04,45.43,37.77,Black,Maize,19,4,21,10/26/2026,18.7,105.85
28.79,73.96,35.13,Clayey,Wheat,16,3,42,DAP,23.57,158.18
31.74,63.18,24.75,Loamy,Maize,11,13,16,10/26/2026,17.27,127.02
36.76,59.74,39.36,Black,Wheat,22,1,20,17-17-17,20.3,116.61
26.29,47.4,68.32,Black,Pulses,6,0,7,14-35-14,20.35,107.93
25.37,50.94,25.52,Black,Sugarcane,3,14,20,14-35-14,15.75,119.47
25.49,59.63,68.9,Red,Barley,8,0,42,28-28,27.24,136.65
28.88,55.01,36.26,Red,Pulses,39,0,0,10/26/2026,18.6,116.72
34.53,58.86,52.25,Black,Oil seeds,18,3,41,17-17-17,25.64,121.8
29.73,44.95,36.64,Clayey,Sugarcane,10,0,38,Urea,19.02,106.04
30.05,59.14,39.13,Red,Ground Nuts,17,0,43,20-20,22.74,122.56
30.67,61.01,35.65,Clayey,Oil seeds,41,2,0,17-17-17,19.68,137.7
24.3,53.62,60.71,Clayey,Sugarcane,9,2,35,10/26/2026,24.4,129.7
37.7,56.61,57.93,Loamy,Wheat,27,0,15,10/26/2026,23.55,106.16
27.09,48.1,39.39,Clayey,Ground Nuts,9,11,21,Urea,18.84,111.03
28.02,43.47,37.43,Black,Sugarcane,33,0,2,28-28,17.08,90.4
34.62,64.2,39.87,Sandy,Millets,21,1,19,28-28,20.54,122.15
33.0,72.49,26.85,Loamy,Millets,11,3,36,20-20,20.12,141.63
37.48,74.71,50.16,Sandy,Wheat,33,0,2,10/26/2026,22.75,147.23
40.0,80.0,55.43,Clayey,Paddy,42,4,0,DAP,25.99,152.88
33.47,62.71,36.43,Loamy,Sugarcane,17,0,39,Urea,21.96,137.14
24.91,47.48,32.77,Black,Pulses,17,0,21,17-17-17,17.0,116.68
30.89,57.6,53.41,Sandy,Maize,41,1,0,28-28,22.74,123.99
25.22,53.11,39.07,Red,Tobacco,24,0,14,20-20,18.82,123.47
30.68,66.46,37.19,Red,Sugarcane,17,0,38,17-17-17,22.33,150.99
27.33,64.51,61.53,Sandy,Millets,12,11,32,20-20,27.01,141.79
29.96,54.53,67.99,Black,Ground Nuts,13,4,6,20-20,22.5,118.29
32.99,50.56,44.4,Clayey,Sugarcane,4,15,14,14-35-14,18.89,99.03
36.5,76.58,69.11,Sandy,Oil seeds,15,0,41,14-35-14,29.88,152.44
24.59,51.79,70.0,Black,Paddy,9,3,8,28-28,22.18,119.7
28.14,64.83,42.85,Loamy,Wheat,14,0,7,17-17-17,18.2,133.96
31.92,57.22,51.32,Black,Millets,18,4,17,Urea,21.84,128.76
36.21,57.4,64.18,Black,Oil seeds,34,0,1,28-28,23.83,107.64
29.54,58.68,37.33,Black,Paddy,27,0,20,28-28,20.38,122.66
37.62,54.26,47.98,Red,Sugarcane,8,0,8,17-17-17,17.42,105.17
23.0,53.85,26.32,Clayey,Cotton,11,1,12,Urea,14.25,122.81
33.55,58.99,28.88,Loamy,Paddy,33,3,0,20-20,17.07,114.21
25.2,54.36,56.57,Black,Barley,5,16,13,14-35-14,21.85,120.45
28.1,57.31,69.25,Sandy,Millets,40,0,0,10/26/2026,25.58,128.66
26.32,61.03,28.0,Black,Oil seeds,7,9,32,20-20,18.9,130.57
36.26,72.92,70.0,Red,Barley,11,4,28,17-17-17,27.74,151.99
36.08,67.07,39.77,Loamy,Cotton,4,7,26,28-28,20.21,127.83
26.61,51.72,36.01,Red,Ground Nuts,45,0,0,28-28,19.12,115.5
22.55,57.45,46.58,Red,Paddy,24,1,24,DAP,22.41,120.54
35.44,68.66,47.39,Loamy,Wheat,13,20,20,20-20,24.29,138.66
31.47,64.11,65.21,Black,Sugarcane,13,3,28,20-20,26.05,140.76
23.45,48.04,34.71,Loamy,Sugarcane,33,4,1,14-35-14,17.45,115.11
32.95,47.81,36.46,Sandy,Cotton,11,5,26,14-35-14,18.37,101.93
35.89,69.26,56.39,Sandy,Tobacco,19,0,23,28-28,24.5,135.21
32.33,75.18,40.55,Black,Sugarcane,14,19,23,10/26/2026,24.03,151.26
38.98,58.36,50.55,Red,Tobacco,16,0,42,Urea,24.65,100.82
33.44,62.95,26.99,Clayey,Pulses,27,0,19,28-28,18.59,125.53
25.0,43.01,70.0,Sandy,Maize,38,0,3,10/26/2026,24.45,101.22
29.95,70.97,49.89,Loamy,Tobacco,24,0,27,10/26/2026,24.73,154.12
28.47,63.69,51.32,Black,Cotton,8,0,8,10/26/2026,19.03,143.46
37.78,67.61,42.9,Loamy,Tobacco,37,0,0,28-28,20.89,129.6
20.85,59.67,27.39,Black,Ground Nuts,15,9,6,DAP,15.95,143.05
34.47,55.91,64.25,Loamy,Paddy,9,8,25,17-17-17,24.74,110.96
22.37,49.0,70.0,Red,Paddy,40,1,0,28-28,25.05,112.82
22.29,47.57,66.46,Sandy,Oil seeds,11,0,12,28-28,21.5,106.09
25.06,59.78,44.6,Clayey,Millets,36,0,0,28-28,20.3,130.39
30.44,62.39,67.03,Black,Pulses,22,2,19,17-17-17,26.1,130.4
24.39,43.91,36.11,Red,Cotton,18,0,21,DAP,17.46,93.25
36.89,69.58,42.28,Sandy,Cotton,37,0,0,28-28,20.96,144.37
30.22,50.85,59.57,Clayey,Wheat,5,5,34,10/26/2026,23.6,112.45
36.69,78.73,43.49,Red,Oil seeds,35,0,3,20-20,22.27,156.87
29.5,42.7,52.43,Loamy,Tobacco,21,0,21,Urea,21.06,87.99
36.74,61.86,29.3,Clayey,Wheat,38,2,0,14-35-14,18.05,116.88
29.86,61.53,51.88,Loamy,Millets,33,2,0,20-20,21.78,133.43
26.18,44.54,66.14,Loamy,Wheat,8,0,17,20-20,21.43,99.04
24.23,54.33,34.93,Sandy,Tobacco,5,10,28,14-35-14,18.87,125.53
25.05,64.63,47.88,Loamy,Pulses,10,3,6,DAP,18.89,149.38
29.0,57.95,20.71,Red,Oil seeds,12,16,11,10/26/2026,15.79,118.23
39.5,59.87,52.35,Black,Oil seeds,11,1,36,20-20,23.66,116.65
27.46,66.87,26.04,Loamy,Maize,6,11,34,14-35-14,19.55,144.18
31.41,56.68,46.38,Loamy,Paddy,10,15,17,28-28,21.24,115.17
26.18,54.54,46.83,Sandy,Tobacco,37,1,0,17-17-17,20.52,126.08
31.52,51.09,41.27,Loamy,Oil seeds,38,0,4,DAP,19.66,113.43
35.22,76.59,24.21,Loamy,Oil seeds,10,1,39,14-35-14,20.0,154.46
37.69,54.05,40.24,Loamy,Pulses,19,0,45,17-17-17,23.05,98.04
27.77,54.61,46.77,Loamy,Wheat,12,3,32,10/26/2026,21.87,113.08
32.86,65.21,45.16,Sandy,Sugarcane,26,0,21,DAP,22.6,129.22
28.3,60.42,55.44,Sandy,Paddy,11,13,17,Urea,23.28,131.53
34.98,64.48,51.57,Clayey,Tobacco,12,0,37,14-35-14,24.11,128.72
39.31,59.72,40.8,Red,Cotton,42,3,0,DAP,20.88,103.18
27.41,48.69,52.62,Black,Wheat,11,3,33,DAP,22.44,109.93
29.89,59.26,51.55,Sandy,Cotton,15,0,12,28-28,20.29,123.48
34.05,71.7,24.22,Clayey,Pulses,26,0,18,20-20,18.61,140.63
23.91,43.52,39.54,Black,Sugarcane,34,2,0,17-17-17,17.66,99.95
32.24,49.43,40.27,Black,Cotton,36,0,0,14-35-14,18.4,103.52
36.98,53.44,24.52,Clayey,Pulses,13,2,37,14-35-14,18.05,94.96
30.83,50.49,61.71,Black,Oil seeds,18,4,36,DAP,26.09,111.2
27.06,51.39,53.38,Clayey,Cotton,9,0,37,28-28,22.71,118.04
38.7,65.81,23.13,Loamy,Wheat,6,0,34,20-20,17.21,128.17
30.9,55.65,30.7,Loamy,Ground Nuts,11,6,11,20-20,15.91,119.16
27.98,46.24,47.68,Loamy,Maize,21,0,24,Urea,20.91,112.45
38.27,60.33,37.69,Sandy,Cotton,9,4,16,14-35-14,17.92,125.44
